Time,C1,Trigs,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,TimeB,C1B,TrigsB,C3B,C4B,C5B,C6B,C7B,C8B,C9B,C10B,C11B,C12B,C13B
7.79,784,768,-318021,-1174790,-2936316,-8461047,-1573967,-7848621,451826,-930242,-231872,394340,313642,7.71,54141,770,19068.52667,19449.67167,19830.81667,20211.96167,20593.10667,20974.25167,21355.39667,21736.54167,22117.68667,22498.83167,22879.97667
7.79,221416,768,-174261,-987361,-2715862,-8233187,-1350813,-7612479,506673,-728291,-20762,502198,332268,7.71,-2745,770,106.5266667,487.6716667,868.8166667,1249.961667,1631.106667,2012.251667,2393.396667,2774.541667,3155.686667,3536.831667,3917.976667
7.79,470641,768,-21866,-776093,-2432093,-7928704,-1070846,-7289254,553760,-501947,230200,600217,344514,7.71,214296,770,72453.52667,72834.67167,73215.81667,73596.96167,73978.10667,74359.25167,74740.39667,75121.54167,75502.68667,75883.83167,76264.97667
7.79,500081,768,-6544,-745721,-2361486,-7849973,-1010697,-7202863,549408,-465272,272467,595993,339967,7.71,466811,770,156625.1933,157006.3383,157387.4833,157768.6283,158149.7733,158530.9183,158912.0633,159293.2083,159674.3533,160055.4983,160436.6433
7.79,536350,768,9183,-718740,-2308826,-7786442,-964467,-7134102,550532,-434084,304390,599881,339328,7.71,505144,770,169402.86,169784.005,170165.15,170546.295,170927.44,171308.585,171689.73,172070.875,172452.02,172833.165,173214.31
7.8,582041,768,32731,-681409,-2245029,-2146906368,-905008,-7051616,555318,-395983,347163,610871,340034,7.71,536377,770,179813.86,180195.005,180576.15,180957.295,181338.44,181719.585,182100.73,182481.875,182863.02,183244.165,183625.31
7.8,393174,768,-94123,-848491,-2439998,-7912240,-1102637,-7258088,505277,-574467,159163,512090,322771,7.72,580911,770,194658.52,195039.66,195420.8,195801.94,196183.08,196564.22,196945.36,197326.5,197707.64,198088.78,198469.92
7.8,152597,768,-238799,-1051550,-2714607,-8205352,-1371056,-7568651,460313,-795604,-79761,416892,311156,7.72,389092,770,130718.8533,131099.9933,131481.1333,131862.2733,132243.4133,132624.5533,133005.6933,133386.8333,133767.9733,134149.1133,134530.2533
7.8,106789,768,-260963,-1088504,-2791716,-8292099,-1438074,-7665319,461684,-839194,-131963,415250,314606,7.72,198023,770,67029.18667,67410.32667,67791.46667,68172.60667,68553.74667,68934.88667,69316.02667,69697.16667,70078.30667,70459.44667,70840.58667
7.8,88140,768,-270462,-1106843,-2828104,-8337229,-1468687,-7715568,462324,-860257,-153327,415106,315338,7.72,114249,770,39104.52,39485.66,39866.8,40247.94,40629.08,41010.22,41391.36,41772.5,42153.64,42534.78,42915.92
